file,value_concept,geo,time
ddf-weo--GGXCNL--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGSB--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGX_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--LE--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--TMG_RPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PCPIE--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDPD--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXWDN_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--TXG_RPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXWDG_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXCNL_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGR_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXONLB--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
